SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,split,Id
3.0,1.4,0.2,0,-0.9846131404950306,2
3.9,1.7,0.4,0,-0.2313782122305689,6
3.4,1.4,0.3,0,-0.5223265871849129,7
3.4,1.5,0.2,0,1.532710088605847,8
2.9,1.4,0.2,0,0.6790879288380334,9
3.1,1.5,0.1,0,-0.1918887236332407,10
3.4,1.6,0.2,0,-0.7714487519630457,12
3.0,1.4,0.1,0,-0.7014605966548274,13
3.0,1.1,0.1,0,1.3359082128005595,14
4.4,1.5,0.4,0,-0.9163159775400546,16
3.9,1.3,0.4,0,0.6252690798585988,17
3.8,1.5,0.3,0,-1.2848791960865402,20
3.4,1.7,0.2,0,-0.725991344690903,21
3.7,1.5,0.4,0,-0.578806705589217,22
3.3,1.7,0.5,0,0.8183959201777713,24
3.0,1.6,0.2,0,0.4186886191459978,26
3.4,1.6,0.4,0,-0.8299568562122658,27
3.2,1.6,0.2,0,-1.3966289034361483,30
3.1,1.6,0.2,0,0.7110544405970841,31
3.4,1.5,0.4,0,-0.2681579862030614,32
4.1,1.5,0.1,0,-0.2989455031681721,33
4.2,1.4,0.2,0,-0.6502083605786299,34
3.5,1.3,0.2,0,-2.135145929014835,37
3.1,1.5,0.1,0,-0.4657402061719473,38
3.0,1.3,0.2,0,0.4866888422641968,39
3.4,1.5,0.2,0,0.14702815411285,40
3.5,1.3,0.3,0,-0.6192469550737163,41
3.2,1.3,0.2,0,1.1724196606000217,43
3.8,1.9,0.4,0,-1.4142542268822027,45
3.0,1.4,0.3,0,0.5988526177167073,46
3.8,1.6,0.2,0,-0.3415011654858825,47
3.2,1.4,0.2,0,-1.7651590699239843,48
3.7,1.5,0.2,0,-0.472105989169167,49
3.1,4.9,1.5,1,-1.315281340956062,53
2.3,4.0,1.3,1,0.6937435211729267,54
2.8,4.5,1.3,1,-1.1634533646854723,56
2.9,4.6,1.3,1,-0.8470671267427377,59
2.7,3.9,1.4,1,-0.9513727220564512,60
2.0,3.5,1.0,1,-0.7393479989973478,61
3.0,4.2,1.5,1,-1.2301918764085054,62
2.2,4.0,1.0,1,1.786352408174667,63
2.9,4.7,1.4,1,-0.6580766268651084,64
2.9,3.6,1.3,1,0.2411651875592065,65
3.0,4.5,1.5,1,-0.345587276450486,67
2.7,4.1,1.0,1,-0.7637704351120713,68
2.2,4.5,1.5,1,0.7691088849807769,69
2.5,3.9,1.1,1,0.8593983263743754,70
3.2,4.8,1.8,1,0.0051150368559491,71
2.5,4.9,1.5,1,0.8177448468949375,73
2.8,4.7,1.2,1,-0.4086765663478742,74
2.9,4.3,1.3,1,0.1722934423010349,75
3.0,4.4,1.4,1,1.2776329967485,76
2.8,4.8,1.4,1,-0.9080661660553137,77
3.0,5.0,1.7,1,0.0323613152535258,78
2.9,4.5,1.5,1,-0.7246568055170931,79
2.6,3.5,1.0,1,0.1931753629115328,80
2.4,3.8,1.1,1,-0.1012874991968085,81
2.4,3.7,1.0,1,0.2990348200806618,82
2.7,3.9,1.2,1,0.2672157259357997,83
3.0,4.5,1.5,1,1.385255382391311,85
3.1,4.7,1.5,1,0.9566544871418488,87
2.3,4.4,1.3,1,0.4971472696132499,88
3.0,4.1,1.3,1,-0.0251231864480538,89
3.0,4.6,1.4,1,-0.5209681675242234,92
2.7,4.2,1.3,1,0.1305485908159574,95
3.0,4.2,1.2,1,1.3752907739903952,96
2.9,4.2,1.3,1,-0.3702444856824186,97
2.9,4.3,1.3,1,2.678553338333346,98
2.5,3.0,1.1,1,-0.7101894064796384,99
2.8,4.1,1.3,1,-0.0587448124836267,100
3.3,6.0,2.5,2,0.3403978996019478,101
2.7,5.1,1.9,2,0.8249381284801096,102
2.9,5.6,1.8,2,-1.8958828109445356,104
3.0,5.8,2.2,2,0.1040481803127211,105
3.0,6.6,2.1,2,-0.0420543272857105,106
2.5,4.5,1.7,2,-0.7572043098355742,107
2.5,5.8,1.8,2,-0.4276742185975695,109
3.6,6.1,2.5,2,-0.026127815854025,110
3.2,5.1,2.0,2,-1.0254674327352369,111
3.0,5.5,2.1,2,1.463648264399373,113
2.5,5.0,2.0,2,0.5406621565272348,114
3.0,5.5,1.8,2,0.4989878935854164,117
3.8,6.7,2.2,2,0.1501742010684677,118
2.2,5.0,1.5,2,0.4073822632663688,120
2.8,4.9,2.0,2,-0.5730049437706498,122
2.8,6.7,2.0,2,-1.243380486667661,123
2.7,4.9,1.8,2,1.5432768007365114,124
3.3,5.7,2.1,2,-0.0834410834211712,125
3.2,6.0,1.8,2,1.5857878082069623,126
2.8,4.8,1.8,2,0.5112108770927789,127
2.8,5.6,2.1,2,-0.0436433333136861,129
3.0,5.8,1.6,2,0.2722019786171792,130
2.8,6.1,1.9,2,1.568368884609037,131
2.8,5.1,1.5,2,-0.550952126255519,134
2.6,5.6,1.4,2,-0.7660899128997603,135
3.0,6.1,2.3,2,1.0182188213472432,136
3.1,5.5,1.8,2,0.8146466668193387,138
3.0,4.8,1.8,2,-1.502227272740077,139
3.1,5.6,2.4,2,0.2526202639889062,141
3.1,5.1,2.3,2,0.1756386531618001,142
2.7,5.1,1.9,2,0.0302541429100851,143
3.2,5.9,2.3,2,-1.0375452926033606,144
3.3,5.7,2.5,2,0.6943849933148901,145
3.0,5.2,2.3,2,0.519469715133144,146
2.5,5.0,1.9,2,2.172972179013539,147
3.0,5.2,2.0,2,-0.0500826477678916,148
3.4,5.4,2.3,2,0.2272329974212496,149
3.0,5.1,1.8,2,1.1848818691160343,150
